drg,procedure_id,procedure_name,provider_id,provider_name,address,city,state,zip_code,region,total_discharges,average_covered_charges,average_totalPayments,average_medicare_payments,patient_oop_payments
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370014,ALLIANCEHEALTH DURANT,1800 UNIVERSITY BOULEVARD,DURANT,Oklahoma,74702,TX - Dallas,76,127518.14,13413.63,10788.07,2625.56
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370015,ALLIANCEHEALTH PRYOR,111 NORTH BAILEY STREET,PRYOR,Oklahoma,74361,OK - Tulsa,12,38622.25,13490.92,10797.83,2693.09
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370016,INTEGRIS BASS BAPTIST HEALTH CENTER,600 SOUTH MONROE,ENID,Oklahoma,73701,OK - Oklahoma City,44,67280.82,15123.82,13399.41,1724.41
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370018,"JANE PHILLIPS MEMORIAL MEDICAL CENTER, INC",3500 EAST FRANK PHILLIPS BOULEVARD,BARTLESVILLE,Oklahoma,74006,OK - Tulsa,78,47779.32,12009.13,9901.5,2107.63
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370019,GREAT PLAINS REGIONAL MEDICAL CENTER,1801 WEST 3RD STREET,ELK CITY,Oklahoma,73644,OK - Oklahoma City,35,56192.2,12387.94,9736.23,2651.71
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370020,MERCY HOSPITAL ADA,430 NORTH MONTE VISTA,ADA,Oklahoma,74820,OK - Oklahoma City,41,44024.44,13408.98,11067.56,2341.42
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370022,JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY,1200 EAST PECAN ST,ALTUS,Oklahoma,73523,OK - Oklahoma City,92,34250.61,13266.29,10568.87,2697.42
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370023,"DUNCAN REGIONAL HOSPITAL, INC",1407 WHISENANT DRIVE,DUNCAN,Oklahoma,73533,OK - Lawton,180,52585.42,12120.43,10475.59,1644.84
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370025,EASTAR HEALTH SYSTEM,300 ROCKEFELLER DRIVE,MUSKOGEE,Oklahoma,74401,OK - Tulsa,128,37957.6,11706.03,9574.87,2131.16
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370026,ST MARY'S REGIONAL MEDICAL CENTER,305 SOUTH 5TH STREET,ENID,Oklahoma,73701,OK - Oklahoma City,192,64916.81,10863.97,9072.36,1791.61
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370028,INTEGRIS BAPTIST MEDICAL CENTER,3300 NORTHWEST EXPRESSWAY,OKLAHOMA CITY,Oklahoma,73112,OK - Oklahoma City,228,79731.85,15680.89,11868.14,3812.75
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370032,ALLIANCEHEALTH DEACONESS,5501 NORTH PORTLAND AVENUE,OKLAHOMA CITY,Oklahoma,73112,OK - Oklahoma City,85,95227.68,12659.38,10932.2,1727.18
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370034,MCALESTER REGIONAL HEALTH CENTER AUTHORITY,ONE CLARK BASS BOULEVARD,MCALESTER,Oklahoma,74501,OK - Tulsa,179,44309.54,12335.12,10770.7,1564.42
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370037,ST ANTHONY HOSPITAL,1000 NORTH LEE AVENUE,OKLAHOMA CITY,Oklahoma,73101,OK - Oklahoma City,721,56772.72,15328.59,12600.21,2728.38
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370039,HILLCREST HOSPITAL CLAREMORE,1202 N MUSKOGEE PLACE,CLAREMORE,Oklahoma,74017,OK - Tulsa,40,63992.13,12316.53,10654.4,1662.13
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370041,BRISTOW MEDICAL CENTER,700 W. 7TH STREET,BRISTOW,Oklahoma,74010,OK - Tulsa,45,62182.93,17720.07,16515.91,1204.16
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370047,"MERCY HOSPITAL ARDMORE, INC","1011 FOURTEENTH AVENUE, NORTHWEST",ARDMORE,Oklahoma,73401,OK - Oklahoma City,167,33670.96,13242.08,11440.22,1801.86
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370049,STILLWATER MEDICAL CENTER,1323 WEST 6TH STREET,STILLWATER,Oklahoma,74076,OK - Tulsa,222,32042.01,12775.63,10655.44,2120.19
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370054,GRADY MEMORIAL HOSPITAL,2220 IOWA STREET,CHICKASHA,Oklahoma,73018,OK - Oklahoma City,16,53643.25,14968.13,14112.88,855.25
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BLVD,LAWTON,Oklahoma,73505,OK - Lawton,108,49827.37,11863.63,9958.63,1905
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370078,OKLAHOMA STATE UNIVERSITY MEDICAL CENTER,744 WEST 9TH STREET,TULSA,Oklahoma,74127,OK - Tulsa,31,60680.19,17054.71,14321.87,2732.84
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370089,NORTHEASTERN HEALTH SYSTEM,1400 EAST DOWNING STREET,TAHLEQUAH,Oklahoma,74465,OK - Tulsa,98,28730.23,12379.45,10214.9,2164.55
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370091,"SAINT FRANCIS HOSPITAL, INC",6161 SOUTH YALE,TULSA,Oklahoma,74136,OK - Tulsa,323,38266.02,13592.22,9605.7,3986.52
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370093,O U MEDICAL CENTER,700 NE 13TH STREET,OKLAHOMA CITY,Oklahoma,73104,OK - Oklahoma City,83,107148.95,19948.45,16257.82,3690.63
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370094,ALLIANCEHEALTH MIDWEST,2825 PARKLAWN DRIVE,MIDWEST CITY,Oklahoma,73110,OK - Oklahoma City,111,111042.46,11695.46,10546.74,1148.72
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370097,SOUTHWESTERN MEDICAL CENTER,5602 SOUTHWEST LEE BOULEVARD,LAWTON,Oklahoma,73505,OK - Lawton,28,57674.68,16111.07,12699.54,3411.53
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370106,INTEGRIS SOUTHWEST MEDICAL CENTER,4401 SOUTH WESTERN AVENUE,OKLAHOMA CITY,Oklahoma,73109,OK - Oklahoma City,55,79250.6,13394.65,11981.24,1413.41
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370113,INTEGRIS GROVE HOSPITAL,1001 EAST 18TH STREET,GROVE,Oklahoma,74344,MO - Joplin,33,48065.79,12977.36,9902.18,3075.18
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370114,"ST JOHN MEDICAL CENTER, INC",1923 SOUTH UTICA AVENUE,TULSA,Oklahoma,74104,OK - Tulsa,93,49533.63,12188.89,10254.05,1934.84
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370149,ST ANTHONY SHAWNEE HOSPITAL,1102 W MACARTHUR,SHAWNEE,Oklahoma,74804,OK - Oklahoma City,34,28741.56,12529.82,11399.32,1130.5
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370180,CHICKASAW NATION MEDICAL CENTER,1921 STONECIPHER BLVD,ADA,Oklahoma,74820,OK - Oklahoma City,22,7492.45,17829.64,16585.64,1244
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370192,NORTHWEST SURGICAL HOSPITAL,9204 NORTH MAY AVENUE,OKLAHOMA CITY,Oklahoma,73120,OK - Oklahoma City,83,52548.3,12544.58,9122.39,3422.19
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370202,HILLCREST HOSPITAL SOUTH,8801 SOUTH 101ST EAST AVENUE,TULSA,Oklahoma,74133,OK - Tulsa,71,60727.14,11663.92,10487.3,1176.62
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370203,"COMMUNITY HOSPITAL, LLC",3100 SOUTHWEST 89TH STREET,OKLAHOMA CITY,Oklahoma,73159,OK - Oklahoma City,171,52296.97,11742.04,9629.16,2112.88
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370210,"OKLAHOMA SURGICAL HOSPITAL, LLC","2408 EAST 81ST STREET, SUITE 300",TULSA,Oklahoma,74137,OK - Tulsa,746,30659.81,11022.72,8842.63,2180.09
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370211,INTEGRIS CANADIAN VALLEY  HOSPITAL,1201 HEALTH CENTER PARKWAY,YUKON,Oklahoma,73099,OK - Oklahoma City,41,66838.51,13142.83,10815.1,2327.73
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370212,OKLAHOMA CENTER FOR ORTHOPAEDIC & MULTI-SP,8100 SOUTH WALKER BLDG C,OKLAHOMA CITY,Oklahoma,73139,OK - Oklahoma City,169,26667.25,11722.24,9626.96,2095.28
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370218,"SAINT FRANCIS HOSPITAL SOUTH, LLC",10501 EAST 91ST STREET SOUTH,TULSA,Oklahoma,74133,OK - Tulsa,54,39531.3,11728.07,9777.8,1950.27
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370220,ONECORE HEALTH,"1044 SW 44TH, SUITE 350",OKLAHOMA CITY,Oklahoma,73109,OK - Oklahoma City,34,82082.29,11685.35,10521.44,1163.91
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370222,"MCBRIDE CLINIC ORTHOPEDIC HOSPITAL,  L L C",9600 NORTH BROADWAY EXTENSION,OKLAHOMA CITY,Oklahoma,73114,OK - Oklahoma City,1117,36525.69,11598.72,9543.99,2054.73
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370227,ST JOHN OWASSO,12451 EAST 100TH STREET NORTH,OWASSO,Oklahoma,74055,OK - Tulsa,39,48011.1,11388.92,9666.1,1722.82
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370228,"BAILEY MEDICAL CENTER, LLC",10502 NORTH 110TH EAST AVENUE,OWASSO,Oklahoma,74055,OK - Tulsa,29,58127.41,11927.76,10038.45,1889.31
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370235,"ST JOHN BROKEN ARROW, INC",1000 WEST BOISE CIRCLE,BROKEN ARROW,Oklahoma,74012,OK - Tulsa,551,45730.22,11163.46,8349.63,2813.83
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,370236,INTEGRIS HEALTH EDMOND,4801 INTEGRIS PARKWAY,EDMOND,Oklahoma,73034,OK - Oklahoma City,71,68404.11,12145.75,9906.32,2239.43
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380001,MID-COLUMBIA MEDICAL CENTER,1700 E 19TH STREET,THE DALLES,Oregon,97058,OR - Portland,46,40217.59,17607.17,15284.87,2322.3
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380002,ASANTE THREE RIVERS MEDICAL CENTER,500 SW RAMSEY AVENUE,GRANTS PASS,Oregon,97527,OR - Medford,232,39013.99,14395.59,11302.26,3093.33
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380004,PROVIDENCE ST VINCENT MEDICAL CENTER,9205 SW BARNES ROAD,PORTLAND,Oregon,97225,OR - Portland,316,38515.16,16367.3,12858.7,3508.6
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380005,ASANTE ASHLAND COMMUNITY HOSPITAL,280 MAPLE STREET,ASHLAND,Oregon,97520,OR - Medford,65,46536.32,14931.46,11203.83,3727.63
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380007,LEGACY EMANUEL MEDICAL CENTER,2801 N GANTENBEIN AVENUE,PORTLAND,Oregon,97227,OR - Portland,22,46404.05,20109.86,16556.45,3553.41
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380009,OHSU HOSPITAL AND CLINICS,3181 SW SAM JACKSON PARK ROAD,PORTLAND,Oregon,97239,OR - Portland,207,42612.07,21444.26,17066.94,4377.32
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380014,GOOD SAMARITAN REGIONAL MEDICAL CENTER,3600 NW SAMARITAN DRIVE,CORVALLIS,Oregon,97330,OR - Eugene,177,44884.73,18641.81,14651.71,3990.1
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380017,LEGACY GOOD SAMARITAN MEDICAL CENTER,"1015 NW 22ND AVENUE, W121",PORTLAND,Oregon,97210,OR - Portland,124,43452.76,17754.46,13017.61,4736.85
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380018,ASANTE ROGUE REGIONAL MEDICAL CENTER,2825 E BARNETT ROAD,MEDFORD,Oregon,97504,OR - Medford,413,43368.75,14584.34,11974.94,2609.4
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380020,MCKENZIE-WILLAMETTE MEDICAL CENTER,1460 G STREET,SPRINGFIELD,Oregon,97477,OR - Eugene,137,60952.95,15605.6,12167.9,3437.7
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380021,TUALITY COMMUNITY HOSPITAL,335 SE 8TH AVENUE,HILLSBORO,Oregon,97123,OR - Portland,38,48804.92,14978.24,13764.13,1214.11
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380022,SAMARITAN ALBANY GENERAL HOSPITAL,1046 6TH AVENUE SW,ALBANY,Oregon,97321,OR - Eugene,55,44175.93,15785.85,11879.93,3905.92
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380025,LEGACY MOUNT HOOD MEDICAL CENTER,24800 SE STARK STREET,GRESHAM,Oregon,97030,OR - Portland,42,34240.17,14620.29,11840.45,2779.84
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380027,MERCY MEDICAL CENTER,2700 NW STEWART PARKWAY,ROSEBURG,Oregon,97471,OR - Eugene,106,55745.18,17755.06,14315.78,3439.28
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380029,SILVERTON HOSPITAL,342 FAIRVIEW STREET,SILVERTON,Oregon,97381,OR - Portland,59,56298.56,20358.69,18544.42,1814.27
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380037,PROVIDENCE NEWBERG MEDICAL CENTER,1001 PROVIDENCE DRIVE,NEWBERG,Oregon,97132,OR - Portland,49,35034.14,15121.04,12364.29,2756.75
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380038,PROVIDENCE WILLAMETTE FALLS MEDICAL CENTER,1500 DIVISION STREET,OREGON CITY,Oregon,97045,OR - Portland,81,38372.4,17911.07,11410.17,6500.9
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380040,ST CHARLES MEDICAL CENTER - REDMOND,1253 N CANAL BLVD,REDMOND,Oregon,97756,OR - Bend,51,44966.45,22899.12,19255.96,3643.16
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380047,ST CHARLES MEDICAL CENTER - BEND,2500 NE NEFF ROAD,BEND,Oregon,97701,OR - Bend,593,46486.86,15444.09,12553.22,2890.87
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380050,SKY LAKES MEDICAL CENTER,2865 DAGGETT AVENUE,KLAMATH FALLS,Oregon,97601,OR - Medford,169,46133.02,17286.45,14901.73,2384.72
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380051,SALEM HOSPITAL,"890 OAK STREET, SE",SALEM,Oregon,97301,OR - Salem,343,33450.72,16459.41,12507.8,3951.61
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380052,"SAINT ALPHONSUS MEDICAL CENTER - ONTARIO, INC",351 SW 9TH STREET,ONTARIO,Oregon,97914,ID - Boise,75,35346.91,16130.39,14698.28,1432.11
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380060,ADVENTIST MEDICAL CENTER,10123 SE MARKET STREET,PORTLAND,Oregon,97216,OR - Portland,107,56749.84,15844.54,12501,3343.54
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380061,PROVIDENCE PORTLAND MEDICAL CENTER,4805 NE GLISAN STREET,PORTLAND,Oregon,97213,OR - Portland,278,37033.63,16905.96,12802.23,4103.73
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380071,WILLAMETTE VALLEY MEDICAL CENTER,2700 SE STRATUS AVE.,MCMINNVILLE,Oregon,97128,OR - Portland,51,62896.25,16162.69,11649.71,4512.98
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380075,PROVIDENCE MEDFORD MEDICAL CENTER,1111 CRATER LAKE AVENUE,MEDFORD,Oregon,97504,OR - Medford,80,47888.6,13212.53,11810.18,1402.35
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380082,PROVIDENCE MILWAUKIE HOSPITAL,10150 SE 32ND AVENUE,MILWAUKIE,Oregon,97222,OR - Portland,51,36641.25,16137.8,13041.94,3095.86
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380089,LEGACY MERIDIAN PARK MEDICAL CENTER,19300 SW 65TH AVENUE,TUALATIN,Oregon,97062,OR - Portland,255,34544.02,14297.18,11350.21,2946.97
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380090,BAY AREA HOSPITAL,1775 THOMPSON ROAD,COOS BAY,Oregon,97420,OR - Eugene,175,50340.47,20184.01,16356.75,3827.26
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380102,SACRED HEART MEDICAL CENTER - RIVERBEND,3333 RIVERBEND DRIVE,SPRINGFIELD,Oregon,97477,OR - Eugene,541,44193.33,16116.35,12919.42,3196.93
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,380103,KAISER FOUNDATION HOSPITAL - WESTSIDE,2875 NW STUCKI AVE,HILLSBORO,Oregon,97124,OR - Portland,55,24911.05,18600.65,8291.58,10309.07
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,390001,GEISINGER - COMMUNITY MEDICAL CENTER,1822 MULBERRY STREET,SCRANTON,Pennsylvania,18510,PA - Scranton,183,69425.63,11214.05,9653.37,1560.68
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,390002,UPMC MCKEESPORT,1500 FIFTH AVENUE,MC KEESPORT,Pennsylvania,15132,PA - Pittsburgh,15,64332.47,16063.73,13371.93,2691.8
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,390003,GEISINGER - BLOOMSBURG HOSPITAL,549 EAST FAIR STREET,BLOOMSBURG,Pennsylvania,17815,PA - Danville,30,46211.5,12144.73,10938.47,1206.26
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,390004,HOLY SPIRIT HOSPITAL,503 NORTH 21ST STREET,CAMP HILL,Pennsylvania,17011,PA - Harrisburg,176,37284.18,12239.76,10217.47,2022.29
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,390006,GEISINGER MEDICAL CENTER,100 NORTH ACADEMY AVENUE,DANVILLE,Pennsylvania,17822,PA - Danville,202,102138.89,18012.87,14935.75,3077.12
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,390008,ELLWOOD CITY HOSPITAL,724 PERSHING STREET,ELLWOOD CITY,Pennsylvania,16117,PA - Pittsburgh,14,19060.71,11962.64,10888.93,1073.71
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,390009,SAINT VINCENT HOSPITAL,232 WEST 25TH STREET,ERIE,Pennsylvania,16544,PA - Erie,195,67006.92,12999.53,10778.24,2221.29
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,390012,LANSDALE HOSPITAL,100 MEDICAL CAMPUS DRIVE,LANSDALE,Pennsylvania,19446,PA - Philadelphia,181,41968.07,12357.93,10278.94,2078.99
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,390013,EVANGELICAL COMMUNITY HOSPITAL,ONE HOSPITAL DRIVE,LEWISBURG,Pennsylvania,17837,PA - Danville,232,38726.61,12374.3,10801.7,1572.6
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,390016,JAMESON MEMORIAL HOSPITAL,1211 WILMINGTON AVENUE,NEW CASTLE,Pennsylvania,16105,OH - Youngstown,48,32597.25,12690.83,9745.33,2945.5
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,390019,PALMERTON HOSPITAL,135 LAFAYETTE AVENUE,PALMERTON,Pennsylvania,18071,PA - Allentown,23,45712.04,11507.22,9588.22,1919
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,390026,CHESTNUT HILL HOSPITAL,8835 GERMANTOWN AVE,PHILADELPHIA,Pennsylvania,19118,PA - Philadelphia,61,178752.56,15198.84,13483,1715.84
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,390027,TEMPLE UNIVERSITY HOSPITAL,3401 NORTH BROAD STREET,PHILADELPHIA,Pennsylvania,19140,PA - Philadelphia,70,134454.69,25370.61,19803.83,5566.78
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,390028,UPMC MERCY,1400 LOCUST STREET,PITTSBURGH,Pennsylvania,15219,PA - Pittsburgh,49,72486.16,17795.08,13523.43,4271.65
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,390030,SCHUYLKILL MEDICAL CENTER - SOUTH JACKSON STREET,420 SOUTH JACKSON STREET,POTTSVILLE,Pennsylvania,17901,PA - Reading,36,38864.61,12828.36,11331.44,1496.92
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,390031,SCHUYLKILL MEDICAL CENTER - EAST NORWEGIAN STREET,700 EAST NORWEGIAN STREET,POTTSVILLE,Pennsylvania,17901,PA - Reading,39,35521.44,12659.56,11470.95,1188.61
